177286 09
65614 0a
  25 1
  16 2
165078 20
   2 21
 335 22
36768 23
 795 24
  10 25
  90 26
 429 27
7127 28
7244 29
8724 2a
5947 2b
6627 2c
10779 2d
13586 2e
3453 2f
   4 3
13214 30
19184 31
14912 32
7816 33
6179 34
5276 35
5650 36
4705 37
2765 38
3690 39
2220 3a
  95 3b
 152 3c
3233 3d
 240 3e
 151 3f
  54 4
 184 40
73669 41
20806 42
52967 43
49728 44
90939 45
24489 46
19111 47
19505 48
55439 49
2118 4a
8431 4b
42859 4c
29511 4d
56302 4e
60752 4f
   7 5
32455 50
4526 51
60391 52
63819 53
87824 54
24764 55
15026 56
7923 57
12636 58
7836 59
3602 5a
   1 5b
   1 5d
 435 5f
9090 61
2094 62
3210 63
4190 64
11535 65
2628 66
4163 67
3165 68
7358 69
 107 6a
 229 6b
3525 6c
3454 6d
5626 6e
9166 6f
2061 70
 273 71
6552 72
4967 73
7091 74
3509 75
 314 76
1314 77
 439 78
1829 79
 273 7a
   8 7c
 106 Line
 106 Repeats
 106 Times
